BRANCH,COUNCIL
AGBOZUME,SOGAKOPE
AGEGE,KORLE GONNO
AGEGE CAMARA,KORLE GONNO
AGENDA LOMNAVA,AYAWASO
AGOE 2 LIONS,LOME
AGOE ECOBANK,LOME
AGOGO,AYAWASO2
AGOGOSO,BIBIANI
AGONA,ASOKWA
AGONA ABODOM,SWEDRU
AGONA ASAFO,SWEDRU
AGONA BANSO,TAKORADI
AGONA DUAKWA,SWEDRU
AGONA KWANYAKO,OFAAKOR
AGONA MENSAKROM,SWEDRU
AGONA NKWANTA,TAKORADI
AGONA NSABA,SWEDRU
AGONA NYAKROM,SWEDRU
AGORKPO,SOGAKOPE
AGORMANYA,DAWHENYA
AGOU JUNCTION,KETE-KRACHI
AGRIC NZEMA,ATONSU
AGRIC SETTLEMENT,WA
AGUS,LA
AGYEIMPRA,BANTAMA
AHADO,HOHOE
AHAFO KENYASE MISSION,SUNYANI
AHAFOMAN,SUNYANI
AHENEASE,AYAWASO2
AHINSAN,ATONSU
AHONDWO,KETE-KRACHI
AHOUGNANSOU CENTER,OFAAKOR
AHWETIESO,TARKWA
AHWIAA NTAAMU,BANTAMA
AHWIAM,TEMA
AIR TRANSPORT SQUADRON,SYDNEY
AIRPORT BARRACKS(37),MAKARIOS HQ
AIRPORT ENGLEBERT,MAKARIOS HQ
AIRPORT RAILWAYS,MAKARIOS HQ
AIRPORT RIDGE,TAKORADI
AIRPORT ROUNDABOUT,ASOKWA
AJUMAKO,CAPE COAST
AJUMAKO BISEASE,CAPE COAST
AKAH,KETE-KRACHI
AKAME,SOGAKOPE
AKATSI APARCHE,SOGAKOPE
AKATSI TRAINING COLLEGE,SOGAKOPE
AKEPE,LOME
AKIM ACHIASE,AYAWASO2
AKIM ADEISO,AYAWASO2
AKIM ANAMASE,AYAWASO2
AKIM ASUBOA,AYAWASO2
AKIM BATABI,AYAWASO2
AKIM NKRONSO,NSAWAM
AKIM ODA,AYAWASO2
AKIM SWEDRU,AYAWASO2
AKOASE,AYAWASO2
AKOEFE,HO
AKOMADAN,ASOKWA
AKOSOMBO,TEMA COMMUNITY 22
AKPAFU MPEASEM,HOHOE
AKPEI-SHIKA,TESHIE
AKPORMAN,OYIBI
AKPOSO KABO,KETE-KRACHI
AKRADE,TEMA COMMUNITY 22
AKRAMAMAN,AYAWASO
AKROKERI,OBUASI
AKROPONG,PEDUASE
AKROSO,AYAWASO2
AKUMSA-DOMASE,TECHIMAN
AKURE,LAGOS
AKUSE,TEMA COMMUNITY 22
AKUSE SALOM,DAWHENYA
AKWADUM,KOFORIDUA
AKWAMUFIE,TEMA COMMUNITY 22
AKWATIA,AYAWASO2
AKWELEY,OFAAKOR
AKYIM HEMANG,KOFORIDUA
AKYIM TARKWA CCL,TARKWA
ALABAMA,ABEKA
ALAJO,AYAWASO
ALAJO-TETEGU,AYAWASO
ALASKA CENTER,SUNYANI
ALBANY,LOS ANGELES
ALENTAME,SOGAKOPE
ALESSANDRIA,BARCELONA
ALEXANDRIA APARCHE,LOS ANGELES
ALEXANDRIA RICHMOND HWY,LOS ANGELES
ALHAJI,ABEKA
ALHAJI ATORQUASHIE,KORLE GONNO
ALHASSAN AKURA,KINTAMPO
ALIKOPE,OYIBI
A-LINE,TECHIMAN
ALLENTOWN,LOS ANGELES
ALLOS CENTER,LAGOS
ALOE RIDGE,PIETERMARITZBURG
ALOGBOSHIE,ACHIMOTA
ALOTAU,SYDNEY
ALTONA,EDMONTON
AMANASE,NSAWAM
AMANFROM CENTER,AYAWASO2
AMANFROM CENTRAL,OFAAKOR
AMANFROM D34,GREATER LOVE
AMANFROM EAST,OFAAKOR
AMANFROM KOFORIDUA CCL,AYAWASO2
AMANFROM PENTECOST,NYANYANOR KAKRABA
AMANFROM WEST,OFAAKOR
AMANIEKROM,TARKWA
AMANKOKWAA-BEREKUM,BEREKUM
AMANOKROM,PEDUASE
AMANTIN,EJURA
AMASAMAN,AYAWASO
AMASAMAN AA,OFAAKOR
AMASAMAN CENTER,MAKARIOS HQ
AMASAMAN CENTRE,OYIBI
AMASAMAN STADIUM,AYAWASO
AMAZING GRACE,TARKWA
AMBOHIBAO,FIRST LOVE
AMEN CENTER,TEMA
AMERICAN HOUSE,MAKARIOS HQ
AMERICANOPOLIS,SAO PAULO
AMHRAHIA,OYIBI
AMPABAME,ASOKWA
AMPOMA,KINTAMPO
AMPOMAH,ADENTA
AMPOMAH LAST STOP,ADENTA
AMRAHIA,MAKARIOS HQ
AMSTERDAM,BARCELONA
ANADEIA,TAMALE
ANAGKAZO,CAPE TOWN
ANAGKAZO ASSEMBLIES HQ,OFAAKOR
ANAGKAZO CENTER,COTONOU
ANAGKAZO CENTER TAMALE CCL,TAMALE
ANAIDEIA CENTER,ACHIMOTA
ANAJI,TAKORADI
ANAJI ANNEX B,TAKORADI
ANCHORAGE,LOS ANGELES
ANEHO MISSION,LOME
ANFOEGA,KPANDO
ANGEL VIEW,ADENTA
ANGELS,KINGSTON
ANGLICAN BASIC,OYIBI
ANIISI,BAWKU
ANKAFUL,CAPE COAST
ANLOGA,SOGAKOPE
ANOKYE,CAPE COAST
ANOMABO,CAPE COAST
ANTIOCH,LOS ANGELES
ANTSIRABE,FIRST LOVE
ANTULA,BISSAU
ANTULA BONO,BISSAU
ANTULA PAAL,BISSAU
ANTWERPEN,EDMONTON
ANUNMLE,ACHIMOTA
ANWIA NKWANTA,OBUASI
ANWOMASO,BANTAMA
ANYAA CENTER,SANTA MARIA
ANYAA MARKET,AWOSHIE
ANYAMAM,SOGAKOPE
ANYINAM KOFORIDUA CCL,AYAWASO2
APAAPA,TESHIE
APAM,WINNEBA
APATRAPA,BANTAMA
APATRAPA JENESSY,BANTAMA
APATRAPA NEWSITE,BANTAMA
APATRAPA TOWN,BANTAMA
APENKWA,AYAWASO
APENKWA-ALOGBOSHIE,AYAWASO
APENKWA-DARKUMAN,AYAWASO
APENKWA-JERUSALEM,AYAWASO
APENKWA-JUDEA,AYAWASO
APENKWA-KWASHIEMAN,AYAWASO
APESOKUBI,KETE-KRACHI
APIA,SYDNEY
APIREDE,PEDUASE
APLAKU ISRAEL C43,GREATER LOVE
APOLLONIA OYIBI CCL,OYIBI
APORSO KODZI,HOHOE
APOWA,TAKORADI
APPEADU,BANTAMA
APPIAH DANQUAH,KORLE GONNO
APPOLONIA,TEMA
APREMDO,TAKORADI
APUTUOGYA,ATONSU
ARANDIS,MANZINI
ARENA(ASENDUA),TESHIE
ARLINGTON,LOS ANGELES
ARMLEY,EDMONTON
ARS,DAWHENYA
ARS CENTER,OYIBI
ASAFO AME ZION,BANTAMA
ASAFO BTM,BANTAMA
ASAKAE,TAKORADI
ASALOKO,BAWKU
ASAMANKESE,AYAWASO2
ASAMAN-TAMFOE,AYAWASO2
ASAMOAH DJAN A14,GREATER LOVE
ASANKRAGUA BUADUM,TARKWA
ASANKRAGUAA,TARKWA
ASANTE KENYASE,ASOKWA
ASAWASE,BANTAMA
ASCOT 1,KINGSTON
ASDA,ADENTA
ASENDUA MADINA,ADENTA
ASENE,AYAWASO2
ASESEWA,KOFORIDUA
ASHAIMAN ABIOLA CITY,ASHAIMAN CHAPEL SQUARE
ASHAIMAN AVIATION,ASHAIMAN CHAPEL SQUARE
ASHAIMAN CHAPEL SQUARE,ASHAIMAN CHAPEL SQUARE
ASHAIMAN JERICHO,ASHAIMAN CHAPEL SQUARE
ASHAIMAN KAKETO,TEMA COMMUNITY 22
ASHAIMAN LEBANON,TEMA COMMUNITY 22
ASHAIMAN MIDDLE EAST,TEMA COMMUNITY 22
ASHAIMAN NEWTOWN TRANSFORMER,TEMA COMMUNITY 22
ASHAIMAN NEWTOWN ZONE 2,TEMA COMMUNITY 22
ASHAIMAN TAIFA,TEMA COMMUNITY 22
ASHAIMAN TAIFA ANNEX,TEMA COMMUNITY 22
ASHAIMAN TIMBER MARKET,ASHAIMAN CHAPEL SQUARE
ASHAIMAN TSUI BLEO,ASHAIMAN CHAPEL SQUARE
ASHAIMAN WASHINGTON STATION,TEMA COMMUNITY 22
ASHAIMAN ZENU,TEMA COMMUNITY 22
ASHALAJA,AYAWASO
ASHALE BOTWE,MAKARIOS HQ
ASHALE BOTWE MAIN,ADENTA
ASHBREAD WEIJA,OFAAKOR
ASHIAMAN,OYIBI
ASHIEYE,OYIBI
ASHIGAME,SOGAKOPE
ASHONGMAN,BEREKUSO
ASHONGMAN CENTRE,MAKARIOS HQ
ASHTON,EDMONTON
ASHTOWN,BANTAMA
ASHTOWN ASH,BANTAMA
ASHTOWN CENTER,OFAAKOR
ASIAKWA,AYAWASO2
ASIKASU,AYAWASO2
ASIKRI,BAWKU
ASIKUMA,HO
ASOFAN AYAWASO,AYAWASO
ASOKORE JUABEN,BANTAMA
ASOKORE MAMPONG,BANTAMA
ASOKWA,ASOKWA
ASOMPA,TARKWA
ASSASAN,CAPE COAST
ASSEMBLIES,OYIBI
ASSEMBLIES AGBOGBA,ADENTA
ASSEMENYA,BANTAMA
ASSEMKROM,SEKONDI
ASSIN ADUBIASE,ASSIN FOSU
ASSIN BEREKU,ASSIN FOSU
ASSIN DARMANG,ASSIN FOSU
ASSIN FOSU,ASSIN FOSU
ASSIN JUASO,ASSIN FOSU
ASSIN MANSO,ASSIN FOSU
ASSIN NSUTA,ASSIN FOSU
ASSIN NYANKOMASI,ASSIN FOSU
ASSIN PRASO,ASSIN FOSU
ASSORKO,SEKONDI
ASTON,EDMONTON
ASUABA,FIRST LOVE
ASUBOI,NSAWAM
ASUKAWKAW,KETE-KRACHI
ASUOFUA NEWSITE,BANTAMA
ASUOKAW,AYAWASO2
ASUOM,AYAWASO2
ASUOTWENE,AYAWASO2
ASUOYEBOAH AB,BANTAMA
ASUYEBOAH IPT,BANTAMA
ASYLUM DOWN,TESHIE
ATAABADZE,CAPE COAST
ATEBUBU MAIN,EJURA
ATEIKU,TARKWA
ATHENS,LOS ANGELES
ATHI RIVER,MOMBASA
ATIMPOKU,TEMA COMMUNITY 22
ATLANTA,LOS ANGELES
ATOBRA KROM,TARKWA
ATOMIC ACHIMOTA CCL,BEREKUSO
ATOMIC KORLE GONNO CCL,KORLE GONNO
ATONKOR,HOHOE
ATONSU,ATONSU
ATTA AKURA,KINTAMPO
ATTAHKROM,HOHOE
ATTA-MILLS-BOBOKROM,SUNYANI
ATTOBRAKROM,TARKWA
ATTRIDGEVILLE,PRETORIA
ATUBA,BAWKU
ATWIMA KOFORIDUA,ASOKWA
ATWIMA TWEDIE,ASOKWA
ATWIMAH TECHIMAN,ATONSU
AUCKLAND,SYDNEY
AUSTIN,LOS ANGELES
AVE-DAKPA,HO
AVEDJI,LOME
AVEME,KPANDO
AVEPOZO,LOME
AVORNYORKOPE,HOHOE
AVOSUM,BAWKU
AWISA,AYAWASO2
AWOSHIE,AWOSHIE
AWOSHIE KOKROKO,KORLE GONNO
AWOSHIE MANGOASE,ABEKA
AWUDOME ESTATES,KORLE GONNO
AWUDUM CENTER,TEMA
AWUTU BEREKU,OFAAKOR
AXIM,TAKORADI
AY ADOMBI,AYEDUASE
AY ALLOS,AYEDUASE
AY AMANDA,AYEDUASE
AY BABY BRUNEI,AYEDUASE
AY BOMSO TOWN CENTER,AYEDUASE
AY DELISA,AYEDUASE
AY DOMEABRA,AYEDUASE
AY DUNAMIS,AYEDUASE
AY EIRENA,AYEDUASE
AY EKKLEZIA,AYEDUASE
AY EMINA,AYEDUASE
AY EVANDY,AYEDUASE
AY FRONTLINE APARTMENT,AYEDUASE
AY FRONTLINE INN,AYEDUASE
AY GOASO,AYEDUASE
AY GYINYASE,AYEDUASE
AY LOGOS,AYEDUASE
AY MAKARIOUS,AYEDUASE
AY MANTHANO,AYEDUASE
AY NEW BRUNEI,AYEDUASE
AY NEWSITE,AYEDUASE
AY POIMANO,AYEDUASE
AY SHABACH,AYEDUASE
AY SHALOM,AYEDUASE
AY UNITY,AYEDUASE
AY VICTORY TOWERS,AYEDUASE
AY WOOD VILLAGE,AYEDUASE
AY ZOGREO,AYEDUASE
AYAKORASE-BEREKUM,BEREKUM
AYANFURI,ATONSU
AYAWASO AMERIYA,AYAWASO
AYAWASO CATHEDRAL,AYAWASO
AYAWASO-AMASAMAN,AYAWASO
AYAWASO-ASOFAN ABODWESE,AYAWASO
AYAWASO-ASOFAN NEW STATION,AYAWASO
AYAWASO-CHRISTIAN VILLAGE,AYAWASO
AYAWASO-DOME,AYAWASO
AYAWASO-GOLDEN DOOR,AYAWASO
AYAWASO-KATAPOR,AYAWASO
AYAWASO-KUTUNSE,AYAWASO
AYAWASO-KWABENYA,AYAWASO
AYAWASO-MANCHIE,AYAWASO
AYAWASO-MANHEAN,AYAWASO
AYAWASO-OLEBU ABEASE,AYAWASO
AYAWASO-PILLAR 2,AYAWASO
AYAWASO-POKUASE,AYAWASO
AYAWASO-SAPEIMAN,AYAWASO
AYAWASO-TANTRA HILLS-ISRAEL,AYAWASO
AYEDUASE,FIRST LOVE
AYEDUASE DUMAH,AYEDUASE
AYEDUASE EZER,AYEDUASE
AYEDUASE GATHERING SERVICE,AYEDUASE
AYEDUASE SUSUANSO,FIRST LOVE
AYEDUASE X-KIN,FIRST LOVE
AYEDUASE YASHA,FIRST LOVE
AYENSU ESTATE,OYIBI
AYETEPA,TEMA
AYIGBE TOWN B1,GREATER LOVE
AYIGBE TOWN B19,GREATER LOVE
AYIGBE TOWN CENTER,KORLE GONNO
AYIGYA,BANTAMA
AYIGYA TOWN CENTRE,AYEDUASE
AYIKAI DOBLO,AYAWASO
AYIKUMA,OYIBI
AYIMENSAH BASIC SCHOOL 1,OYIBI
AYINASI,SEKONDI
AYOPIA,BAWKU
BAAH BOATENG,OYIBI
BAAKONIABA,SUNYANI
BAATSONA POLICE STATION CENTER,HEALING JESUS CATHEDRAL
BAAZU,WA
BABA YARA,MAKARIOS HQ
BABATO,KINTAMPO
BABIANEHA,ATONSU
BABINSO,CAPE COAST
BABY BRUNEI CENTRE,AYEDUASE
BACHARBORIDO,TAMALE NORTH
BACO DJICORONI GOLF,BAMAKO
BACO DJICORONI GOLF II,BAMAKO
BADU,TECHIMAN
BADURI,TAMALE NORTH
BAFATA,BISSAU
BAFATA PROJECTO,BISSAU
BAGUIDA,LOME
BAGUIO CITY,FIRST LOVE
BAKAANO,CAPE COAST
BAKANGA,BAWKU
BAKAU,BAKAU
BAKAYERE,SEKONDI
BAKPABA,TAMALE NORTH
BALIN,TAMALE
BAMAKO APARCHE,BAMAKO
BAMBOI,WA
BANANA INN,KORLE GONNO
BANANA INN CENTER,KORLE GONNO
BANDA,KETE-KRACHI
BANDIM,BISSAU
BANDIM 3,BISSAU
BANGALORE,PUNE
BANGKOK,PUNE
BANGLADESH,FIRST LOVE
BANGUI,LA BELLE EGLISE
BANIVILLAS CENTRE,AYEDUASE
BANKSTOWN,SYDNEY
BANKUMAN CENTER,TEMA
BANKYIM,TARKWA
BANSE,BAWKU
BANSE WIDNABA,BAWKU
BANTAMA,BANTAMA
BANTAMA BTM,BANTAMA
BARCELONA,BARCELONA
BAREKESE,ASOKWA
BARKING,EDMONTON
BARNERSVILLE,QADOSH
BARON FACTORY II,OYIBI
BARTICA,GEORGETOWN
BASEKE,SEKONDI
BASEL,BARCELONA
BASENGO,BOLGATANGA
BASILDON,EDMONTON
BASSETERRE,KINGSTON
BASSINKO,OUAGADOUGOU
BATANYILI,TAMALE
BATTERSEA,EDMONTON
BATTOR,SOGAKOPE
BAVIAANSPOORT,PRETORIA
BAWA AKURA,KINTAMPO
BAWALESHIE,OYIBI
BAWDAN,PUNE
BAWDIE,TARKWA
BAWIA,SEKONDI
BAWJIASE,OFAAKOR
BAWKU,BAWKU
BAWKU PNMTC,BAWKU
BAWKU SAPELIGA,BAWKU
BAWKU SENIOR HIGH TECHNICAL,BAWKU
BAWKU SHS,BAWKU
BAWKU TECHNICAL CENTER,BAWKU
BAZUA,BAWKU
BEAHU,TAKORADI
BEAHU ANNEX B,TAKORADI
BEBU,ATONSU
BECHEM,SUNYANI
BECKTON,EDMONTON
BEDFORD,EDMONTON
BEDIAKO,TEMA
BEESTON,EDMONTON
BEGORO,KOFORIDUA
BEHENTE,BISSAU
BEIRA,MAPUTO
BEKPAN JIB,TAMALE
BEKWAI,OBUASI
BELFAST,EDMONTON
BELLE EGLISE QODESH,LA BELLE EGLISE
BELVEDERE,EDMONTON
BELVEDERE WEST,LUSAKA FOXDALE
BENCHIRATANGA,TAMALE NORTH
BENDOGO,OUAGADOUGOU
BENIN CITY,LAGOS
BENONI,JOHANNESBURG
BEPOSO KINTAMPO CCL,KINTAMPO
BEPOSO TAKORADI CCL,SEKONDI
BEREA,ABEKA
BEREKUM,BEREKUM
BEREKUM-BRENYEKWA,BEREKUM
BEREKUM-JAMDEDE,BEREKUM
BEREKUM-NYAMEBEKYERE,BEREKUM
BEREKUSO,BEREKUSO
BEREKUSO CATHEDRAL CENTER,BEREKUSO
BERGAMO,BARCELONA
BERLIN,EDMONTON
BERMONDSEY,EDMONTON
BERN,BARCELONA
BERNAPAT LAST STOP,OYIBI
BETHLEHEM,TEMA COMMUNITY 22
BETHLEHEM TEMA COMM 22 CCL,ASHAIMAN CHAPEL SQUARE
BETOM,KOFORIDUA
BIAZO,CAPE TOWN
BIBIANI,BIBIANI
BIG ADA,SOGAKOPE
BIMBILLA,TAMALE NORTH
BIMBO,LA BELLE EGLISE
BINABA,BOLGATANGA
BINATABE,TAMALE
BINCHONDO,TAMALE
BINDURA,LUSAKA FOXDALE
BINDURI APARCHE,BAWKU
BINDURI JHS CENTER,BAWKU
BINGURI CENTER,BAWKU
BIRIWA,CAPE COAST
BIRMINGHAM LA CCL,LOS ANGELES
BIRMINGHAM TOTTENHAM CCL,EDMONTON
BISEASE KUMASI,CAPE COAST
BISSAU APARCHE,BISSAU
BISSAU ENGLISH CHURCH,BISSAU
BITIDO,TAMALE
BLACKTOWN,SYDNEY
BLANTYRE APARCHE,FIRST LOVE
BLAVE CENTER,HOHOE
BLOEMFONTEIN,MASERU
BLOODRIVER,PRETORIA
BLUEFIELDS,LOS ANGELES
BO,FIRST LOVE
BOADI,BANTAMA
BOADI CHARISMA,AYEDUASE
BOADI JUDAH,AYEDUASE
BOADI KADOSH,AYEDUASE
BOADI KARA,AYEDUASE
BOADI POIMEN,AYEDUASE
BOADI-1,BANTAMA
BOANE,MAPUTO
BOBO DIOULASSO,OUAGADOUGOU
BODADA,HOHOE
BODOM,KINTAMPO
BOGNAYILI,TAMALE
BOGOSO,TARKWA
BOHICON,COTONOU
BOHYE,ACHIMOTA
BOHYE OYIBI CCL,OYIBI
BOI,ADENTA
BOI BEREKUSO CCL,BEREKUSO
BOKO,BAWKU
BOLE,WA
BOLGATANGA,BOLGATANGA
BOLGATANGA TECHNICAL INSTITUTE,BOLGATANGA
BOLOGNA,BARCELONA
BOLTON,EDMONTON
BOMFA,BANTAMA
BOMPATA,BANTAMA
BOMPIESO,TARKWA
BONAKYE,KETE-KRACHI
BONDAYE,TARKWA
BONGO,BAWKU
BONIA,BOLGATANGA
BONKUS,CAPE COAST
BONSA,TARKWA
BONYERE,SEKONDI
BONYON DROMANKOMA,EJURA
BOR,BISSAU
BOR EMBAXADA,BISSAU
BOR MARKET CANTRE,BISSAU
BORAE,KETE-KRACHI
BORLA,ADENTA
BORTEYMAN,HEALING JESUS CATHEDRAL
BORTEYMAN MKC,MAKARIOS HQ
BORTIANOR,GREATER LOVE
BORTIANOR AJASCO,GREATER LOVE
BORTIANOR C47,GREATER LOVE
BORTIANOR HILL C10,GREATER LOVE
BORTIANOR HILLS C27,GREATER LOVE
BOSTON,LOS ANGELES
BOTHA-BUTHE,MASERU
BOTTLES-NORTH,TESHIE
BOTTLES-SOUTH,TESHIE
BOTWE HIGHWAYS,MAKARIOS HQ
BOTWE MARADONNA,MAKARIOS HQ
BOTWE ST. PETERS,MAKARIOS HQ
BOUAKE,OFAAKOR
BOUBIEL CENTER,LAGOS
BOWIE,LOS ANGELES
BOWIRI-KHYIRAHINI,HOHOE
BOWRI,HOHOE
BOYAKPALSAKO,BOLGATANGA
BOYA-NATANG CENTER,BAWKU
BRADFORD,EDMONTON
BRAFOYAW,CAPE COAST
BRAHABOBOM,TARKWA
BRAMLEY,EDMONTON
BRAMPTON,LOS ANGELES
BRAZZAVILLE,LA BELLE EGLISE
BREKUMANSO,AYAWASO2
BREMAN ASIKUMA,CAPE COAST
BREMAN ASIKUMA CAPECOAST CCL,CAPE COAST
BREMAN BEDUM,CAPE COAST
BREMAN BENIN,CAPE COAST
BREMAN ESSIAM,CAPE COAST
BREMEN,EDMONTON
BREWANIASE,KETE-KRACHI
BRIDGEPORT,LOS ANGELES
BRIDGETOWN,KINGSTON
BRIGADE,OYIBI
BRIGADE KINTAMPO CCL,KINTAMPO
BRIKAMA,BAKAU
BRISBANE,SYDNEY
BRISTOL,EDMONTON
BRIXTON,EDMONTON
BRIXTON JOHANNESBURG CCL,JOHANNESBURG
BROCKLEY,EDMONTON
BROCKTON,LOS ANGELES
BROFOYEDRU,ATONSU
BROFOYEDUR,CAPE COAST
BRONX NORTH,LOS ANGELES
BRONX SOUTH,LOS ANGELES
BROOKLYN,LOS ANGELES
BROOKLYN PARK,LOS ANGELES
BROTO,WA
BROUKRO CENTER,OFAAKOR
BRUSSELS,EDMONTON
BUBUASHIE,QODESH
BUBUASHIE MKC,MAKARIOS HQ
BUCHANAN,QADOSH
BUDAPEST,BARCELONA
BUDAPEST MUSTARMAG,BARCELONA
BUDUMBURAM,GREATER LOVE
BUDUMBURAM CENTER,OFAAKOR
BUGOLOBI,NAIROBI
BUGUZUNDE,BAWKU
BUIPE,TAMALE NORTH
BUJUMBURA,FIRST LOVE
BULAWAYO,LUSAKA FOXDALE
BUNKPURUGU,TAMALE NORTH
BUNSO,KOFORIDUA
BUOKROM,ASOKWA
BUOKROM BTM,BANTAMA
BURLINGTON,LOS ANGELES
BUSIA JUNCTION,KORLE GONNO
BUSOSO,KOFORIDUA
BUS-STOP,TESHIE
BUSUNYA,TECHIMAN
BUTANTA,SAO PAULO
BUYA,TAMALE NORTH
CACAVELI,LOME
CADJEHOUN,COTONOU
CALDWELL,QADOSH
CALGARY,LOS ANGELES
CAMARA MANGO ASE,KORLE GONNO
CAMBERWELL,EDMONTON
CAMBODIA CENTER,HEALING JESUS CATHEDRAL
CAMBRIDGE,EDMONTON
